Dossier de Prêt;Solde du Compte Courant;Durée du Prêt;Remboursement des Prêts Antérieurs;Objectif du Prêt;Montant du Prêt;Valeur de l'Épargne;Ancienneté chez l'Employeur Actuel;Endettement en % du Revenu Disponible;Statut Marital;Sexe;Ancienneté dans le Ménage Actuel;Actifs les Plus Importants;Age;Autres Prêts en Cours;Type de Logement;Nombre de Prêts Antérieurs dans cette Banque;Occupation;Ensemble
mauvais;pas de compte courant;36;aucun problème avec les prêts antérieurs;réorientation professionnelle;3 003,00 €;pas d'épargne;5-8 ans;25-35;célibataire;Homme;< 1 an;assurance vie;22;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
bon;négligeable;48;délicat;réorientation professionnelle;17 085,60 €;>1400;1-5 ans;25-35;célibataire;Homme;1-5 ans;assurance vie;46;banques concurrentes;locataire;1;cadre/profession libérale;Apprentissage
mauvais;>300€;36;aucun prêt antérieur;véhicule d'occasion;15 363,60 €;pas d'épargne;sans emploi;< 15;divorcé/séparé/marié;Femme;1-5 ans;assurance vie;24;pas d'autres prêts en cours;locataire;02-avr;cadre/profession libérale;Apprentissage
bon;pas de compte courant;24;remboursement intégral;véhicule neuf;8 986,60 €;pas d'épargne;> 8 ans;25-35;divorcé/séparé/marié;Femme;>8 ans;propriétaire d'un logement/terrain;42;pas d'autres prêts en cours;propriétaire;02-avr;cadre/profession libérale;Test
bon;>300€;24;aucun prêt antérieur;réorientation professionnelle;1 761,20 €;pas d'épargne;5-8 ans;< 15;célibataire;Homme;< 1 an;aucun actif;23;pas d'autres prêts en cours;locataire;1;salarié expérimenté;Test
bon;négligeable;12;aucun prêt antérieur;réorientation professionnelle;1 451,80 €;<140;5-8 ans;15- 25;célibataire;Homme;>8 ans;aucun actif;37;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
mauvais;pas de compte courant;30;aucun prêt antérieur;véhicule d'occasion;4 351,20 €;pas d'épargne;<1 an;25-35;divorcé/séparé;Homme;>8 ans;véhicule;29;pas d'autres prêts en cours;locataire;1;sans expérience avec domicile fixe;Apprentissage
bon;négligeable;15;remboursement intégral;mobilier;2 151,80 €;>1400;> 8 ans;< 15;célibataire;Homme;>8 ans;aucun actif;48;pas d'autres prêts en cours;locataire;02-avr;salarié expérimenté;Test
bon;>300€;15;remboursement intégral;mobilier;2 059,40 €;pas d'épargne;1-5 ans;< 15;célibataire;Homme;>8 ans;propriétaire d'un logement/terrain;33;pas d'autres prêts en cours;propriétaire;02-avr;salarié expérimenté;Apprentissage
mauvais;négligeable;27;remboursement intégral;mobilier;3 528,00 €;140-700;1-5 ans;< 15;célibataire;Homme;1-5 ans;véhicule;21;pas d'autres prêts en cours;locataire;02-avr;sans expérience avec domicile fixe;Apprentissage
